date,strategy_return,benchmark_return,excess_return,n_selected,n_available,selection_mode,strategy_equity,benchmark_equity,excess_equity
2019-10-31,-0.0008161651137689993,-0.0011581168410116434,0.0003419517272426441,11,30,high_only,2.551041783841972,2.140249728473811,1.1919365062417704
2019-11-30,0.05975344952551226,0.04986128741997717,0.00989216210553509,8,30,high_only,2.703475330310246,2.2469653353357715,1.2031673510024383
2019-12-31,-0.04323588693056286,-0.04156632144819593,-0.001669565482366929,11,30,high_only,2.586588176609386,2.1535672519242515,1.2010714660980393
2020-01-31,-0.07862582688424953,-0.07620261123589818,-0.002423215648351351,11,30,high_only,2.3832155424144497,1.989459803855506,1.197920932001671
2020-02-29,-0.19769777136846162,-0.1955968528612244,-0.002100918507237204,15,30,high_only,1.9120591409884338,1.6003277273274603,1.1947922343266297
2020-03-31,0.07920083593983049,0.07914290012592734,5.793581390314828e-05,26,30,high_only,2.063495823321112,1.7269823048200899,1.1948563789923017
2020-04-30,0.062161040048170614,0.05609480802366025,0.006066232024510364,23,30,high_only,2.1917648698338086,1.8238570456692311,1.2017196605612148
2020-05-31,0.055625995377303526,0.04990369966484617,0.005722295712457359,21,30,high_only,2.31368397235132,1.9148742599079218,1.2082693996119491
2020-06-30,0.052829687261003636,0.04240359082148446,0.010426096439519174,8,30,high_only,2.435915173031437,1.9960718044996502,1.2203544820082466
2020-07-31,0.025426535030221582,0.024654729616027462,0.0007718054141941204,7,30,high_only,2.497852055509169,2.0452844151337652,1.2212736952507433
2020-08-31,-0.023327587544655432,-0.028891134182362367,0.005563546637706935,6,30,high_only,2.439583193010681,1.9861938286550411,1.2282704526690904
2020-09-30,-0.034746170142003395,-0.026095446751241817,-0.008650723390761578,7,30,high_only,2.35481702031076,1.9343632133617283,1.217360319946493
2020-10-31,0.16522385329351152,0.1576415024801618,0.007582350813349736,7,30,high_only,2.7438889622076488,2.239299136658425,1.2253338186438967
2020-11-30,0.09672342933387501,0.07035765648228451,0.026365772851590502,4,30,high_only,3.00928731234374,2.396850976076515,1.2555170690126687
2020-12-31,-0.0036074913444689716,-0.011832738718744048,0.008225247374275076,2,30,high_only,2.9984313344114395,2.368489664728835,1.2659676666795696
2021-01-31,0.05112983702497054,0.025686925577626377,0.02544291144734416,2,30,high_only,3.1517406398704617,2.429328882478102,1.2973709169651184
2021-02-28,0.0790464668044979,0.017719914261367948,0.06132655254312995,2,30,high_only,3.400874601736369,2.472376381988279,1.3755488955938797
2021-03-31,-0.0010127252041672863,0.02663250301775315,-0.027645228221920438,1,30,high_only,3.3974304503109782,2.5382219534426036,1.3385080235804538
2021-04-30,0.07622155176870393,0.038353432385173365,0.03786811938353057,1,30,high_only,3.6563878712599274,2.635571477512527,1.3873225987066968
2021-05-31,-0.034446784594221846,-0.012765443839064998,-0.021681340755156847,2,30,high_only,3.5304370658657116,2.6019272378324994,1.356854647790495
2021-06-30,-0.004008835766585783,-0.011775322201983528,0.007766486435397745,4,30,high_only,3.516284123484389,2.571288706260905,1.3675182078630408
2021-07-31,0.04531418834035876,0.028631947769129536,0.016682240571229225,5,30,high_only,3.675621684514174,2.6449097101979198,1.3896964687838533
2021-08-31,-0.06267529897892984,-0.04892160603277459,-0.013753692946155256,5,30,high_only,3.4452509965038103,2.515516479363357,1.3695998514689742
2021-09-30,0.007140179366643617,0.03178076198914562,-0.024640582622502,5,30,high_only,3.4698507065819553,2.5954615098737777,1.3368916061293088
2021-10-31,-0.057239960575221904,-0.04607391517678989,-0.011166045398432016,4,30,high_only,3.2712365889352983,2.4758784364232302,1.321242812575677
